Index	Distance (m)	Current (A)	Distance (m)	N/A
210	2.12325E-05	1.5109E-09	2.12325E-05	210
211	2.13315E-05	1.5106E-09	2.13315E-05	211
212	0.000021431	1.5102E-09	0.000021431	212
213	0.00002153	1.5098E-09	0.00002153	213
214	2.16295E-05	1.5095E-09	2.16295E-05	214
215	2.17285E-05	1.5091E-09	2.17285E-05	215
216	2.18275E-05	1.5088E-09	2.18275E-05	216
217	0.000021927	1.5085E-09	0.000021927	217
218	0.000022026	1.5082E-09	0.000022026	218
219	2.21255E-05	1.5078E-09	2.21255E-05	219
220	2.22245E-05	1.5075E-09	2.22245E-05	220
221	2.23235E-05	1.5072E-09	2.23235E-05	221
222	0.000022423	1.5068E-09	0.000022423	222
223	0.000022522	1.5065E-09	0.000022522	223
224	0.000022621	1.5062E-09	0.000022621	224
225	2.27205E-05	1.5059E-09	2.27205E-05	225
226	2.28195E-05	1.5056E-09	2.28195E-05	226
227	0.000022919	1.5053E-09	0.000022919	227
228	0.000023018	1.5050E-09	0.000023018	228
229	0.000023117	1.5047E-09	0.000023117	229
230	2.32165E-05	1.5044E-09	2.32165E-05	230
231	2.33155E-05	1.5041E-09	2.33155E-05	231
232	0.000023415	1.5037E-09	0.000023415	232
233	0.000023514	1.5035E-09	0.000023514	233
234	0.000023613	1.5032E-09	0.000023613	234
235	2.37125E-05	1.5029E-09	2.37125E-05	235
236	2.38115E-05	1.5027E-09	2.38115E-05	236
237	0.000023911	1.5024E-09	0.000023911	237
238	0.00002401	1.5021E-09	0.00002401	238
239	0.000024109	1.5018E-09	0.000024109	239
240	2.42085E-05	1.5015E-09	2.42085E-05	240
241	2.43075E-05	1.5012E-09	2.43075E-05	241
242	0.000024407	1.5010E-09	0.000024407	242
243	0.000024506	1.5008E-09	0.000024506	243
244	0.000024605	1.5005E-09	0.000024605	244
245	2.47045E-05	1.5002E-09	2.47045E-05	245
246	2.48035E-05	1.4999E-09	2.48035E-05	246
247	0.000024903	1.4997E-09	0.000024903	247
248	0.000025002	1.4994E-09	0.000025002	248
249	0.000025101	1.4991E-09	0.000025101	249
250	2.52005E-05	1.4990E-09	2.52005E-05	250
251	2.52995E-05	1.4987E-09	2.52995E-05	251
252	0.000025399	1.4984E-09	0.000025399	252
253	0.000025498	1.4982E-09	0.000025498	253
254	0.000025597	1.4980E-09	0.000025597	254
255	2.56965E-05	1.4977E-09	2.56965E-05	255
256	2.57955E-05	1.4975E-09	2.57955E-05	256
257	0.000025895	1.4972E-09	0.000025895	257
258	0.000025994	1.4970E-09	0.000025994	258
259	0.000026093	1.4968E-09	0.000026093	259
260	2.61925E-05	1.4965E-09	2.61925E-05	260
261	2.62915E-05	1.4963E-09	2.62915E-05	261
262	0.000026391	1.4961E-09	0.000026391	262
263	0.00002649	1.4959E-09	0.00002649	263
264	0.000026589	1.4956E-09	0.000026589	264
265	2.66885E-05	1.4954E-09	2.66885E-05	265
266	2.67875E-05	1.4952E-09	2.67875E-05	266
267	0.000026887	1.4950E-09	0.000026887	267
268	0.000026986	1.4947E-09	0.000026986	268
269	0.000027085	1.4945E-09	0.000027085	269
270	2.71845E-05	1.4943E-09	2.71845E-05	270
271	2.72835E-05	1.4940E-09	2.72835E-05	271
272	0.000027383	1.4939E-09	0.000027383	272
273	0.000027482	1.4937E-09	0.000027482	273
274	0.000027581	1.4935E-09	0.000027581	274
275	2.76805E-05	1.4932E-09	2.76805E-05	275
276	2.77795E-05	1.4931E-09	2.77795E-05	276
277	0.000027879	1.4929E-09	0.000027879	277
278	0.000027978	1.4927E-09	0.000027978	278
279	0.000028077	1.4925E-09	0.000028077	279
280	2.81765E-05	1.4923E-09	2.81765E-05	280
281	2.82755E-05	1.4920E-09	2.82755E-05	281
282	2.83745E-05	1.4919E-09	2.83745E-05	282
283	0.000028474	1.4917E-09	0.000028474	283
284	0.000028573	1.4915E-09	0.000028573	284
285	2.86725E-05	1.4913E-09	2.86725E-05	285
286	2.87715E-05	1.4911E-09	2.87715E-05	286
